0,1,2,3,4,5,6,7,8
88,DREDGING CORPN. OF INDIA LTD.,9,2,1,1,3,0,2
89,INDIA INFRASTRUCTURE FINANCE CO. LTD.,9,1,2,2,3,0,1
90,ARTIFICIAL LIMBS MFG. CORPN. OF INDIA,9,2,3,2,2,0,0
91,INDIAN DRUGS & PHARMACEUTICALS LTD.,9,2,1,4,2,0,0
92,NATIONAL FERTILIZERS LTD.,9,2,1,0,0,0,6
93,MUNITIONS INDIA LTD.,9,4,1,1,1,0,2
94,COAL INDIA LTD.,9,1,1,2,1,0,4
95,FERTILIZERS & CHEMICALS (TRAVANCORE) LTD.,9,0,4,5,0,0,0
96,RAIL VIKAS NIGAM LTD.,8,1,4,2,1,0,0
97,MOIL LTD.,8,3,1,2,1,0,1
98,M M T C LTD.,8,1,2,1,2,0,2
99,HINDUSTAN NEWSPRINT LTD.,8,0,3,4,1,0,0
100,PATRATU VIDYUT UTPADAN NIGAM LTD.,8,0,6,1,1,0,0
101,INDIAN RARE EARTHS LTD.,8,0,1,0,4,0,3
102,GAIL GAS LTD.,8,2,3,2,0,0,1
103,CENTRAL ELECTRONICS LTD.,8,1,2,3,0,0,2
104,NATIONAL SEEDS CORPN. LTD.,7,2,1,2,2,0,0
105,EdCIL(India) Ltd.,7,2,1,3,0,0,1
106,COCHIN SHIPYARD LTD.,7,1,1,1,2,0,2
107,MISHRA DHATU NIGAM LTD.,6,0,2,1,0,0,3
108,M S T C LTD.,6,0,1,0,5,0,0
109,RAJASTHAN ELECTRONICS AND INSTRUMENTS LTD.,6,2,0,2,2,0,0
110,BRAHAMPUTRA CRACKERS & POLYMER LTD.,5,0,1,3,0,0,1
111,HLL INFRA TECH SERVICES LTD.,5,2,0,2,0,0,1
112,AIRLINE ALLIED SERVICES LTD.,5,1,0,0,4,0,0
113,BHARAT DYNAMICS LTD.,5,0,0,1,0,0,4
114,HINDUSTAN SHIPYARD LTD.,5,2,1,0,1,0,1
115,HINDUSTAN ANTIBIOTICS LTD.,5,2,2,1,0,0,0
116,NHDC LTD.,5,3,1,0,1,0,0
117,INDIA TRADE PROMOTION ORGANISATION,5,0,0,4,1,0,0
118,HPCL BIOFUELS LTD.,5,0,1,0,1,0,3
119,NATIONAL HANDLOOM DEVELOPMENT CORPORATION LTD.,5,3,2,0,0,0,0
120,CENTRAL MINE PLANNING & DESIGN INSTITUTE LTD.,5,1,0,2,2,0,0
121,REC POWER DISTRIBUTION CO. LTD.,4,2,1,1,0,0,0
122,NATIONAL HIGHWAYS & INFRASTRUCTURE DEVELOPMENT CORPN. LTD.,4,0,2,0,0,0,2
123,INSTRUMENTATION LTD.,4,0,0,1,1,0,2
124,HINDUSTAN SALTS LTD.,4,0,0,4,0,0,0
125,IIFCL ASSET MANAGEMENT COMPANY LTD.,4,2,0,0,1,0,1
126,NEPA LTD.,4,1,0,0,2,0,1
127,FCI ARAVALI GYPSUM & MINERALS (INDIA) LTD.,4,0,1,2,0,0,1
128,NPCIL - INDIAN OIL NUCLEAR ENERGY CORPORATION LTD.,4,0,0,1,2,0,1
129,INDIA OPTEL LIMITED,4,0,0,0,0,0,4
130,BALMER LAWRIE & CO. LTD.,4,0,0,1,2,0,1
131,NORTH EASTERN ELECTRIC POWER CORPORATION LTD.,4,0,0,0,1,0,3
132,NBCC SERVICES LTD.,4,2,0,0,2,0,0
133,PAWAN HANS LTD.,4,0,0,2,2,0,0
134,KARNATAKA ANTIBIOTICS & PHARMACEUTICALS LTD.,4,0,1,1,1,0,1
135,NTPC Mining Limited (NML),4,0,1,3,0,0,0
136,BRAHMAPUTRA VALLEY FERTILIZER CORPN. LTD.,3,0,1,0,1,0,1
137,SAIL REFRACTORY COMPANY LTD.,3,1,1,0,1,0,0
138,IIFCL PROJECTS LTD.,3,1,0,1,1,0,0
139,BURN STANDARD COMPANY LTD.,3,0,2,1,0,0,0
140,ARMOURED VEHICLES NIGAM LIMITED,3,0,0,1,0,0,2
141,SJVN LTD.,3,0,0,0,1,0,2
142,KIOCL LTD.,3,0,1,0,1,0,1
143,CENTRAL COTTAGE INDUSTRIES CORPN. OF INDIA LTD.,3,0,0,0,3,0,0
144,HMT LTD.,3,1,1,0,0,0,1
145,CERTIFICATION ENGINEERS INTERNATIONAL LTD.,3,2,0,0,0,0,1
146,INDIA POST PAYMENT BANK LTD,3,0,0,0,0,0,3
